"County","Searches","Impressions","Clicks","Leads","Calls","CTR","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound","Bound CVR","Bound CPA","Bound Rev","Contacted","Contacted CVR","Contacted CPA","Contacted Rev","Quote","Quote CVR","Quote CPA","Quote Rev"
"MUSCOGEE","120","8 (6.67%)","1","1","0","12.5%","$6.51","$6.51","$8.80","4.71","0.83%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"WALTON","52","8 (15.38%)","1","1","0","12.5%","$7.49","$7.49","$8.76","4.69","1.92%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"COBB","165","7 (4.24%)","1","1","0","14.28%","$6.51","$6.51","$9.08","4.52","0.6%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"HOUSTON","76","7 (9.21%)","1","0","0","14.28%","$6.51","$6.51","$8.94","4.67","1.31%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"BIBB","98","7 (7.14%)","0","0","0","0%","$0.00","$0.00","$8.83","4.67","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"HALL","81","7 (8.64%)","2","2","1","28.57%","$16.28","$8.14","$8.96","3.96","2.46%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"MADISON","24","6 (25.00%)","0","0","0","0%","$0.00","$0.00","$8.80","3.70","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"CHEROKEE","92","6 (6.52%)","1","1","0","16.66%","$6.51","$6.51","$8.90","4.52","1.08%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"WHITFIELD","34","6 (17.65%)","2","1","1","33.33%","$13.02","$6.51","$8.62","3.94","5.88%","0","0%","$0.00","$0.00","1","50%","$13.02","$0.00","0","0%","$0.00","$0.00"
"COLUMBIA","59","6 (10.17%)","1","1","1","16.66%","$9.77","$9.77","$8.74","4.79","1.69%","0","0%","$0.00","$0.00","1","100%","$9.77","$0.00","1","100%","$9.77","$0.00"
"THOMAS","35","5 (14.29%)","1","0","0","20%","$9.77","$9.77","$9.29","3.25","2.85%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"FORSYTH","43","5 (11.63%)","2","2","0","40%","$19.54","$9.77","$9.22","4.16","4.65%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"TROUP","54","5 (9.26%)","0","0","0","0%","$0.00","$0.00","$8.71","4.09","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"COWETA","60","5 (8.33%)","1","1","0","20%","$6.51","$6.51","$8.60","4.68","1.66%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"DOUGLAS","97","5 (5.15%)","0","0","0","0%","$0.00","$0.00","$8.97","4.97","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"BULLOCH","26","5 (19.23%)","1","1","0","20%","$6.51","$6.51","$8.89","4.26","3.84%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"PAULDING","35","5 (14.29%)","1","1","0","20%","$6.51","$6.51","$8.68","4.91","2.85%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"ROCKDALE","73","4 (5.48%)","2","1","0","50%","$13.02","$6.51","$8.92","4.80","2.73%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"LOWNDES","85","4 (4.71%)","3","2","0","75%","$20.51","$6.83","$8.99","4.21","3.52%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"FLOYD","37","4 (10.81%)","2","1","0","50%","$14.65","$7.32","$8.73","4.08","5.4%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"CLARKE","40","4 (10.00%)","0","0","0","0%","$0.00","$0.00","$9.23","4.35","0%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"DECATUR","27","4 (14.81%)","1","1","0","25%","$9.77","$9.77","$9.29","3.70","3.7%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"FAYETTE","44","4 (9.09%)","1","1","0","25%","$6.51","$6.51","$8.66","5.02","2.27%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"TOWNS","25","4 (16.00%)","1","1","0","25%","$9.77","$9.77","$8.97","3.64","4%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"CAMDEN","24","4 (16.67%)","2","2","0","50%","$19.54","$9.77","$8.57","4.41","8.33%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
"MURRAY","26","4 (15.38%)","1","0","0","25%","$6.51","$6.51","$8.71","4.57","3.84%","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00","0","0%","$0.00","$0.00"
