"County","Searches","Impressions","CTR","Clicks","Calls","Leads","Contacted","Quote","Bound","Contacted CVR","Quote CVR","Bound CVR","Contacted CPA","Quote CPA","Bound CPA","Cost","Avg CPC","Avg Bid","Avg Pos","Win Rate","Bound Rev","Contacted Rev","Quote Rev"
"RICHMOND","221","19 (8.60%)","26.31%","5","0","5","1","0","0","20%","0%","0%","$42.33","$0.00","$0.00","$42.33","$8.46","$8.84","4.57","2.26%","$0.00","$0.00","$0.00"
"HOUSTON","151","18 (11.92%)","16.66%","3","0","2","1","0","0","33.333%","0%","0%","$26.05","$0.00","$0.00","$26.05","$8.68","$8.85","4.17","1.98%","$0.00","$0.00","$0.00"
"BIBB","180","18 (10.00%)","16.66%","3","1","2","1","0","0","33.333%","0%","0%","$22.79","$0.00","$0.00","$22.79","$7.59","$8.87","4.14","1.66%","$0.00","$0.00","$0.00"
"CHEROKEE","159","16 (10.06%)","18.75%","3","0","3","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$20.51","$6.83","$8.97","4.13","1.88%","$0.00","$0.00","$0.00"
"LIBERTY","69","15 (21.74%)","33.33%","5","0","3","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$39.07","$7.81","$8.94","4.27","7.24%","$0.00","$0.00","$0.00"
"CARROLL","105","14 (13.33%)","21.42%","3","0","2","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$26.05","$8.68","$9.07","3.25","2.85%","$0.00","$0.00","$0.00"
"BARTOW","75","14 (18.67%)","14.28%","2","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$17.26","$8.63","$8.80","3.92","2.66%","$0.00","$0.00","$0.00"
"BULLOCH","74","13 (17.57%)","15.38%","2","0","2","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$13.02","$6.51","$8.47","4.27","2.7%","$0.00","$0.00","$0.00"
"COLUMBIA","108","13 (12.04%)","15.38%","2","2","2","2","1","0","100%","50%","0%","$9.77","$19.54","$0.00","$19.54","$9.77","$8.82","4.16","1.85%","$0.00","$0.00","$0.00"
"THOMAS","71","11 (15.49%)","27.27%","3","0","2","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$27.03","$9.01","$9.23","3.28","4.22%","$0.00","$0.00","$0.00"
"GLYNN","100","11 (11.00%)","18.18%","2","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$19.54","$9.77","$9.12","3.41","2%","$0.00","$0.00","$0.00"
"JACKSON","59","11 (18.64%)","18.18%","2","0","2","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$17.26","$8.63","$8.84","4.30","3.38%","$0.00","$0.00","$0.00"
"WHITFIELD","58","11 (18.97%)","45.45%","5","1","3","1","0","0","20%","0%","0%","$42.33","$0.00","$0.00","$42.33","$8.46","$8.70","4.06","8.62%","$0.00","$0.00","$0.00"
"WALKER","84","10 (11.90%)","30%","3","1","3","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$25.40","$8.46","$8.88","4.57","3.57%","$0.00","$0.00","$0.00"
"HALL","118","9 (7.63%)","22.22%","2","1","2","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$16.28","$8.14","$9.11","3.72","1.69%","$0.00","$0.00","$0.00"
"DOUGHERTY","115","9 (7.83%)","33.33%","3","1","3","1","1","0","33.333%","33.333%","0%","$27.03","$27.03","$0.00","$27.03","$9.01","$8.96","4.17","2.6%","$0.00","$0.00","$0.00"
"DOUGLAS","146","9 (6.16%)","11.11%","1","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$7.49","$7.49","$9.00","4.62","0.68%","$0.00","$0.00","$0.00"
"TROUP","91","9 (9.89%)","22.22%","2","0","2","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$14.00","$7.00","$8.80","3.92","2.19%","$0.00","$0.00","$0.00"
"LOWNDES","137","8 (5.84%)","37.5%","3","0","2","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$20.51","$6.83","$9.04","4.18","2.18%","$0.00","$0.00","$0.00"
"FAYETTE","79","8 (10.13%)","12.5%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$6.51","$6.51","$9.04","4.64","1.26%","$0.00","$0.00","$0.00"
"FLOYD","58","8 (13.79%)","37.5%","3","0","2","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$21.16","$7.05","$8.71","3.91","5.17%","$0.00","$0.00","$0.00"
"PIERCE","39","7 (17.95%)","28.57%","2","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$14.00","$7.00","$8.96","3.17","5.12%","$0.00","$0.00","$0.00"
"MADISON","32","7 (21.88%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$8.94","3.75","0%","$0.00","$0.00","$0.00"
"TOWNS","41","7 (17.07%)","28.57%","2","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$17.26","$8.63","$8.85","4.02","4.87%","$0.00","$0.00","$0.00"
"ROCKDALE","118","7 (5.93%)","28.57%","2","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$13.02","$6.51","$8.95","4.47","1.69%","$0.00","$0.00","$0.00"
"MURRAY","39","7 (17.95%)","14.28%","1","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$6.51","$6.51","$8.92","4.17","2.56%","$0.00","$0.00","$0.00"
"BUTTS","40","7 (17.50%)","14.28%","1","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$8.14","$8.14","$9.12","3.10","2.5%","$0.00","$0.00","$0.00"
"PAULDING","80","7 (8.75%)","28.57%","2","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$14.00","$7.00","$8.84","4.38","2.5%","$0.00","$0.00","$0.00"
"FORSYTH","80","7 (8.75%)","28.57%","2","0","2","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$19.54","$9.77","$9.12","4.41","2.5%","$0.00","$0.00","$0.00"
"SPALDING","66","7 (10.61%)","28.57%","2","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$16.28","$8.14","$8.85","3.77","3.03%","$0.00","$0.00","$0.00"
"GORDON","60","7 (11.67%)","42.85%","3","0","3","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$24.42","$8.14","$8.99","4.35","5%","$0.00","$0.00","$0.00"
"JEFFERSON","28","6 (21.43%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.42","3.07","0%","$0.00","$0.00","$0.00"
"COFFEE","52","6 (11.54%)","16.66%","1","1","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$6.51","$6.51","$9.07","3.71","1.92%","$0.00","$0.00","$0.00"
"MITCHELL","21","6 (28.57%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.04","2.85","0%","$0.00","$0.00","$0.00"
"COWETA","79","6 (7.59%)","16.66%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$6.51","$6.51","$8.60","4.77","1.26%","$0.00","$0.00","$0.00"
"CAMDEN","52","6 (11.54%)","50%","3","0","3","1","0","0","33.333%","0%","0%","$26.05","$0.00","$0.00","$26.05","$8.68","$8.89","3.57","5.76%","$0.00","$0.00","$0.00"
"LAURENS","37","5 (13.51%)","40%","2","0","2","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$16.28","$8.14","$9.10","3.67","5.4%","$0.00","$0.00","$0.00"
"FANNIN","46","5 (10.87%)","40%","2","1","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$19.54","$9.77","$8.91","3.78","4.34%","$0.00","$0.00","$0.00"
"DECATUR","33","5 (15.15%)","20%","1","0","1","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$9.77","$9.77","$9.38","3.51","3.03%","$0.00","$0.00","$0.00"
"CLARKE","57","5 (8.77%)","0%","0","0","0","0","0","0","0%","0%","0%","$0.00","$0.00","$0.00","$0.00","$0.00","$9.22","3.91","0%","$0.00","$0.00","$0.00"
